Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;24/2/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;;
Belarus;BLR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.000486;0.00292;0.0293;0.049;0.0739;0.495;18.604;430.062;895.097;;;;16.2;19.7;23;27.43;31.8;396.489;46.91;54.17;590.163;622.304;71.113;744.364;791.299;827.892;850.879;868.884;895.073;915.125;942.618;;;
Belize;BLZ;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.0454;0.883;1.29;2.09;4.08;596.384;;568.425;;9.8;17;24;24.6;26.3;27.2;28.2;30.7;31;33.6;38.7;41.59;445.757;488.771;535.936;587.652;644.359;706.537;718.096;723.595;;;;
Bermuda;BMU;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;6.84;16.2;24.2;32.1;39.9;429.499;475.097;520.316;56.522;609.909;654.471;698.997;743.506;82.3;83.25;84.21;88.336;912.993;95.3;96.8;983.236;98;98.37;;;;;;;;;;
Bolivia;BOL;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.0668;0.196;0.448;0.626;0.982;144.276;212.046;311.719;35.086;443.992;522.758;620.067;104.992;12.5;16.8;22.4;30;35.34;36.99;346.016;374.868;396.975;438.323;442.861;474.748;599.401;659.774;673.612;702.368;;;;
Brazil;BRA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.00329;0.0129;0.0255;0.0377;0.105;0.451;0.786;1.48;2.04;287.069;452.849;914.943;132.076;190.737;210.227;281.784;30.88;33.83;39.22;40.65;45.69;48.56;51.04;54.551;58.328;608.725;674.713;704.343;739.124;813.427;806.899;805.278;841.506;844.635;;;
Barbados;BRB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.00775;0.389;0.783;1.97;2.38;397.368;119.365;278.363;396.896;49.8;52.5;55.3;58.2;61.4;64.7;65.1;66.5;71.2;71.8;71.9;72;72.2;72.3;72.4;741.791;76.002;778.697;794.451;799.923;;;;
Brunei Darussalam;BRN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;1.02;3.3;4.83;6.28;7.67;899.628;129.178;153.299;19.595;297.156;364.664;421.863;44.68;46;49;53;56;602.731;64.5;68.77;71.2;90;948.667;95;95;963.055;976.288;989.704;990.336;;;;
Bhutan;BTN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0.138;0.400944;0.864629;16.758;243.691;315.698;384.711;451.832;5.92;6.55;7.17;13.6;14.4;15.6;22.4;30.3;39.8;46.5;54.3;63.5;741.794;768.508;856.369;862.903;88.426;;;;
Botswana;BWA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;0.0645;0.157;0.308;0.602;1.12;290.267;343.089;338.592;334.519;330.489;326.255;428.993;5.28;6.25;6.15;6;9;16;30;367.447;373.121;422.576;478.587;542.022;613.865;69.523;78.738;803.696;81.36;;;;
Central African Republic;CAF;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0.00585;0.0143;0.0279;0.0409;0.0533942;0.0785434;0.128537;0.151563;0.223401;0.268196;0.311159;0.375816;1;1.8;2;2.2;2.4;2.5;2.7;2.9;3.1;4;5.1;750.916;;;;;;;;
